City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Fairbanks,90,US,1595085731,93,64.84,-147.72,57.2,9.17
Dingle,100,PH,1595085732,84,11.0,122.67,78.42,5.08
Saskylakh,89,RU,1595085593,69,71.92,114.08,49.57,12.59
Tura,99,IN,1595085733,96,25.52,90.22,76.28,6.6
Broome,1,US,1595085734,69,42.25,-75.83,82.0,5.82
Ostrovnoy,54,RU,1595085593,49,68.05,39.51,71.42,6.11
St. Pete Beach,1,US,1595085538,79,27.73,-82.74,89.01,11.41
Killybegs,33,IE,1595085736,67,54.63,-8.45,59.0,14.99
Jinchang,0,CN,1595085737,22,38.5,102.17,72.12,1.88
Bud,1,US,1595085737,74,39.45,-86.18,82.99,6.93
Rundu,0,NA,1595085738,15,-17.93,19.77,64.4,9.17
Hong Kong,100,HK,1595085530,70,22.29,114.16,86.0,5.99
Heihe,56,CN,1595085739,83,50.24,127.49,75.2,8.95
Pevek,10,RU,1595085740,72,69.7,170.31,41.47,4.56
Puerto Maldonado,20,PE,1595085740,74,-12.6,-69.18,84.2,2.24
Nichinan,100,JP,1595085741,83,31.6,131.37,75.0,4.0
Avera,1,US,1595085742,55,33.19,-82.53,89.6,3.36
Portland,20,US,1595085602,77,45.52,-122.68,61.0,4.7
Kapaa,1,US,1595085742,83,22.08,-159.32,78.8,6.93
Kruisfontein,0,ZA,1595085743,50,-34.0,24.73,61.18,8.57
Mopipi,0,BW,1595085743,21,-21.18,24.88,72.64,9.42
Tupik,100,RU,1595085745,76,54.43,119.93,63.1,2.19
Misratah,0,LY,1595085745,60,32.38,15.09,80.98,12.66
Khovd,44,MN,1595085746,42,48.01,91.64,70.84,1.9
Key Largo,75,US,1595085701,94,25.09,-80.45,80.01,12.75
Nieuw Amsterdam,40,SR,1595085746,59,5.88,-55.08,90.0,4.7
Souillac,40,MU,1595085747,68,-20.52,57.52,69.8,12.75
Ribeira Grande,40,PT,1595085748,57,38.52,-28.7,77.0,16.11
La Palma,1,US,1595085749,64,33.85,-118.05,71.01,3.58
Yendi,94,GH,1595085749,73,9.44,-0.01,82.71,6.85
Sørland,4,NO,1595085750,85,67.67,12.69,54.84,7.9
Limbuhan,100,PH,1595085750,76,11.88,124.05,82.81,11.07
Flinders,100,AU,1595085751,85,-34.58,150.86,54.0,1.99
Pinheiro,97,BR,1595085751,58,-2.52,-45.08,86.76,5.61
Aklavik,90,CA,1595085752,93,68.22,-135.01,46.4,9.17
Barentu,100,ER,1595085752,55,15.11,37.59,81.55,10.33
Lüderitz,0,NA,1595085753,23,-26.65,15.16,71.28,3.71
Chabahar,0,IR,1595085753,74,25.29,60.64,89.1,2.1
Itarema,11,BR,1595085754,56,-2.92,-39.92,86.74,14.58
Marawi,92,PH,1595085754,85,8.0,124.29,78.01,5.99
Khatanga,98,RU,1595085593,84,71.97,102.5,47.61,5.59
Bijapur,99,IN,1595085755,79,16.83,75.7,77.88,14.97
Guerrero Negro,0,MX,1595085755,67,27.98,-114.06,72.79,11.41
Butaritari,10,KI,1595085756,77,3.07,172.79,83.44,15.12
Lucapa,0,AO,1595085757,18,-8.42,20.74,82.56,6.02
San Roque,20,ES,1595085757,78,36.21,-5.38,78.8,10.29
Berlevåg,99,NO,1595085757,83,70.86,29.09,51.96,5.61
Jagdalpur,86,IN,1595085620,83,19.07,82.03,78.48,7.0
Djambala,84,CG,1595085758,47,-2.54,14.75,81.64,6.2
Zhuanghe,98,CN,1595085759,80,39.7,122.99,73.99,4.61
Bengkulu,100,ID,1595085760,88,-3.8,102.27,78.21,5.7
Saint-Pierre,75,RE,1595085761,68,-21.34,55.48,68.0,8.05
Orativ,40,UA,1595085761,47,49.19,29.53,77.0,8.95
Cape Coast,91,GH,1595085603,80,5.11,-1.25,78.13,11.61
Leningradskiy,99,RU,1595085762,88,69.38,178.42,36.03,11.74
Constitución,100,CL,1595085763,87,-35.33,-72.42,56.48,18.32
Straumen,40,NO,1595085763,64,63.87,11.3,71.6,11.41
Tautira,98,PF,1595085764,88,-17.73,-149.15,73.0,11.99
Ahipara,95,NZ,1595085764,90,-35.17,173.17,56.77,7.34
Puerto Escondido,5,MX,1595085765,74,15.85,-97.07,82.4,2.77
Belle Fourche,14,US,1595085766,51,44.67,-103.85,73.99,1.01
Nikolskoye,20,RU,1595085766,41,59.7,30.79,75.2,15.66
Arraial do Cabo,40,BR,1595085665,64,-22.97,-42.03,77.0,16.11
Cape Town,1,ZA,1595085530,72,-33.93,18.42,66.0,9.17
Malko Tarnovo,0,BG,1595085768,42,41.98,27.53,84.2,19.46
Santa Clara,71,CU,1595085768,74,22.4,-79.97,86.0,5.82
Abu Dhabi,68,AE,1595085671,71,24.47,54.37,98.6,8.05
Watrous,99,CA,1595085769,75,51.67,-105.47,62.42,9.57
Adrar,44,MR,1595085769,14,20.5,-10.07,106.07,7.76
La Ronge,90,CA,1595085770,100,55.1,-105.28,57.2,4.05
Cabo San Lucas,20,MX,1595085770,51,22.89,-109.91,86.0,10.29
Nanortalik,38,GL,1595085771,63,60.14,-45.24,50.05,6.78
Bosaso,100,SO,1595085495,37,11.28,49.18,98.6,8.05
Broken Hill,0,AU,1595085772,32,-31.95,141.43,55.4,10.29
Mengcheng,100,CN,1595085772,94,33.26,116.57,75.16,0.69
Vostok,0,RU,1595085773,83,46.49,135.88,64.54,2.33
Alma,20,CA,1595085773,78,48.55,-71.65,73.4,4.7
Tūkrah,0,LY,1595085621,56,32.53,20.58,81.36,12.15
Malacky,89,SK,1595085775,74,48.44,17.02,70.0,3.22
Tazovsky,100,RU,1595085775,67,67.47,78.7,54.39,1.88
Sorong,43,ID,1595085731,85,-0.88,131.25,77.94,8.46
Derzhavīnsk,16,KZ,1595085776,40,51.1,66.32,85.86,16.2
Cayenne,8,GF,1595085777,74,4.93,-52.33,84.2,8.05
Murgab,0,TM,1595085777,19,37.5,61.97,100.4,6.93
Eureka,0,US,1595085622,95,40.8,-124.16,55.99,1.01
Turbiv,40,UA,1595085779,47,49.35,28.72,77.0,8.95
Mazatlan,100,MX,1595085779,81,25.2,-99.82,76.08,5.53
Juxtlahuaca,2,MX,1595085780,62,17.43,-99.15,76.23,5.12
Nurota,0,UZ,1595085542,14,40.56,65.69,98.6,4.7
Taksimo,96,RU,1595085781,71,56.34,114.88,55.87,4.63
Bereda,0,ES,1595085782,42,43.27,-7.54,93.99,8.99
Pittsfield,1,US,1595085782,57,42.45,-73.25,82.0,5.82
Kaitangata,6,NZ,1595085783,92,-46.28,169.85,36.77,4.38
Bougouni,72,ML,1595085783,61,11.42,-7.48,85.3,6.02
Gazli,0,UZ,1595085784,9,40.13,63.45,98.04,11.7
Kloulklubed,75,PW,1595085784,94,7.04,134.26,77.0,4.12
Lavrentiya,0,RU,1595085594,79,65.58,-171.0,41.74,5.84
Nola,40,IT,1595085785,42,40.92,14.53,84.2,8.05
Nybro,30,SE,1595085785,64,56.74,15.91,71.6,17.22
San Patricio,5,MX,1595085786,66,19.22,-104.7,87.8,1.3
Hailey,5,US,1595085786,39,43.52,-114.32,62.6,6.93
Kirakira,100,SB,1595085787,81,-10.45,161.92,78.26,5.23
Husavik,75,IS,1595085787,81,66.04,-17.34,44.6,29.97
Yataity,0,PY,1595085788,55,-26.37,-56.07,78.75,10.33
Alpena,1,US,1595085788,65,45.06,-83.43,79.0,6.93
Lebedinyy,98,RU,1595085788,98,58.52,125.52,52.79,3.4
Yulara,0,AU,1595085789,30,-25.24,130.99,53.6,4.7
Edd,85,ER,1595085789,47,13.93,41.69,93.43,10.54
Dhidhdhoo,100,MV,1595085790,73,6.88,73.1,83.71,20.65
Norman Wells,90,CA,1595085790,93,65.28,-126.83,60.8,6.93
Muli,100,MV,1595085511,74,2.92,73.57,84.07,24.36
Grand-Santi,2,GF,1595085791,49,4.25,-54.38,89.64,4.05
Bethel,1,US,1595085583,54,41.37,-73.41,82.99,4.63
Seoul,20,KR,1595085597,65,37.57,126.98,77.0,0.83
Nur-Sultan,34,KZ,1595085599,50,51.18,71.45,77.0,8.95
Ambon City,40,ID,1595085504,100,-3.7,128.18,75.0,8.05
Luangwa,3,ZM,1595085793,38,-15.62,30.42,74.53,9.51
Arlit,0,NE,1595085794,20,18.74,7.39,101.17,8.84
Garoowe,91,SO,1595085795,45,8.41,48.48,81.32,25.81
Egvekinot,48,RU,1595085594,88,66.32,-179.17,39.97,7.76
Pacifica,90,US,1595085796,93,37.61,-122.49,62.01,10.29
Ketchikan,90,US,1595085797,100,55.34,-131.65,55.4,10.29
Srednekolymsk,0,RU,1595085798,86,67.45,153.68,45.43,6.15
Oistins,40,BB,1595085798,62,13.07,-59.53,87.8,14.99
Tombouctou,0,ML,1595085799,14,20.0,-3.0,106.59,2.37
Chapais,1,CA,1595085620,53,49.78,-74.85,73.4,6.93
Tucson,43,US,1595085800,38,32.22,-110.93,91.0,1.99
Richards Bay,0,ZA,1595085800,37,-28.78,32.04,69.66,9.51
Port-Gentil,75,GA,1595085801,74,-0.72,8.78,80.6,13.2
Tiksi,100,RU,1595085593,75,71.69,128.87,48.11,11.83
Araouane,13,ML,1595085801,18,18.9,-3.53,105.33,1.54
Andenes,25,NO,1595085581,67,69.31,16.12,59.0,6.93
Tasiilaq,20,GL,1595085802,66,65.61,-37.64,51.8,11.41
Salalah,90,OM,1595085803,89,17.02,54.09,84.2,6.93
Rawson,72,AR,1595085803,62,-43.3,-65.1,49.01,7.38
Las Margaritas,10,MX,1595085804,67,16.32,-91.98,70.07,8.25
São Filipe,26,CV,1595085804,72,14.9,-24.5,76.44,12.33
Dunda,23,TZ,1595085805,28,-8.12,34.25,75.04,9.4
Iroquois Falls,75,CA,1595085807,57,48.77,-80.68,75.2,8.05
Hearst,100,CA,1595085807,39,49.68,-83.67,77.58,10.38
Narsaq,75,GL,1595085807,34,60.92,-46.05,64.4,3.36
Makkah al Mukarramah,100,SA,1595085518,12,21.43,39.83,102.0,18.66
Lodja,56,CD,1595085808,25,-3.48,23.43,89.29,3.27
Geraldton,0,AU,1595085710,93,-28.77,114.6,48.2,3.36
Mossamedes,0,AO,1595085809,69,-15.2,12.15,77.0,11.72
Airai,97,TL,1595085810,61,-8.93,125.41,56.28,2.39
Waingapu,75,ID,1595085743,84,-9.66,120.26,74.37,6.44
Woodway,20,US,1595085811,65,31.51,-97.2,84.99,10.29
Verkhoyansk,100,RU,1595085812,54,67.54,133.38,66.9,3.38
College,75,US,1595085615,87,64.86,-147.8,57.2,5.82
Jönköping,100,SE,1595085813,53,57.78,14.16,75.0,12.75
Kuril'sk,19,RU,1595085814,92,45.23,147.88,55.87,8.7
Kishapu,14,TZ,1595085814,21,-3.62,33.87,80.42,10.33
Hasaki,40,JP,1595085553,100,35.73,140.83,70.0,1.12
Emerald,0,AU,1595085815,57,-23.53,148.17,51.8,3.36
Hambantota,40,LK,1595085603,88,6.12,81.12,80.6,3.36
Mopti,75,ML,1595085816,44,14.67,-4.0,95.0,9.17
Tandaltī,25,SD,1595085816,38,13.02,31.87,90.54,9.31
Kuito,0,AO,1595085817,22,-12.38,16.93,68.0,9.17
Lázaro Cárdenas,0,MX,1595085817,60,17.96,-102.2,82.31,3.33
Springfield,1,US,1595085818,78,37.22,-93.3,79.0,10.29
Yabrūd,0,SY,1595085818,20,33.97,36.66,96.8,23.04
Sur,100,OM,1595085602,60,22.57,59.53,89.78,6.42
Lengshuijiang,74,CN,1595085789,84,27.69,111.43,79.74,2.66
Burgeo,100,CA,1595085820,69,47.62,-57.62,61.39,5.95
Santiago de Cao,26,PE,1595085820,77,-7.96,-79.24,64.0,10.27
Taoudenni,35,ML,1595085820,9,22.68,-3.98,113.11,6.69
Vardø,100,NO,1595085821,90,70.37,31.11,50.68,13.11
Nyurba,0,RU,1595085821,94,63.28,118.33,54.52,5.17
Freeport,20,US,1595085822,54,40.66,-73.58,87.01,2.3
Fortuna,1,US,1595085822,87,40.6,-124.16,54.0,1.5
Strelka,1,RU,1595085823,69,58.07,93.03,53.64,2.91
Fichē,99,ET,1595085824,88,9.8,38.73,57.2,1.92
Chiang Klang,100,TH,1595085824,87,19.29,100.86,76.59,1.57
Camacha,20,PT,1595085825,73,33.08,-16.33,73.4,17.22
Omaruru,0,NA,1595085825,17,-21.43,15.93,76.44,15.28
Alexandria,20,EG,1595085613,62,31.22,29.96,84.2,14.99
Ometepec,3,MX,1595085826,61,16.68,-98.42,81.88,0.72
Rochester,75,US,1595085827,61,43.15,-77.62,82.99,9.17
Kochi,75,IN,1595085528,88,9.94,76.26,77.0,3.36
Vieste,40,IT,1595085827,41,41.88,16.18,78.8,11.41
Serdobsk,100,RU,1595085828,96,52.46,44.22,59.09,2.48
Howell,40,US,1595085828,69,42.61,-83.93,82.0,9.17
Samarai,100,PG,1595085829,85,-10.62,150.67,76.32,13.18
Qaanaaq,100,GL,1595085829,71,77.48,-69.36,48.2,2.82
Yaan,66,NG,1595085830,78,7.38,8.57,81.57,4.68
Westport,1,US,1595085830,69,41.14,-73.36,86.0,6.93
Dossor,12,KZ,1595085830,17,47.53,52.98,100.49,11.07
Makakilo City,1,US,1595085831,88,21.35,-158.09,75.2,3.36
Hirara,100,JP,1595085733,83,24.8,125.28,84.94,20.83
Suntar,0,RU,1595085832,89,62.14,117.63,54.54,5.23
Kununurra,25,AU,1595085832,31,-15.77,128.73,59.0,4.34
Urambo,84,TZ,1595085833,24,-5.07,32.05,79.34,5.95
Bowen,71,AU,1595085833,100,-20.02,148.23,59.0,3.36
Naryan-Mar,13,RU,1595085834,77,67.67,53.09,57.36,15.5
Cocorit,40,MX,1595085834,51,27.58,-109.97,86.0,4.32
Nongstoin,100,IN,1595085834,99,25.52,91.27,68.07,5.68
Chaman,0,PK,1595085835,14,30.92,66.45,87.71,7.25
Malangas,98,PH,1595085836,82,7.63,123.03,79.12,1.59
Albanel,20,CA,1595085836,78,48.88,-72.45,73.4,4.7
Charters Towers,50,AU,1595085837,89,-20.1,146.27,52.47,7.83
Pandan,100,PH,1595085837,80,14.05,124.17,81.88,5.77
Tosno,20,RU,1595085838,41,59.54,30.88,75.2,15.66
Torbay,40,CA,1595085838,58,47.67,-52.73,62.01,11.41
Piranshahr,35,IR,1595085838,20,36.7,45.14,88.2,1.39
Ucluelet,90,CA,1595085839,100,48.93,-125.55,55.4,3.36
Ust-Tsilma,2,RU,1595085840,78,65.44,52.15,67.69,4.18
Leshukonskoye,47,RU,1595085841,43,64.9,45.76,69.01,7.94
Presidente Médici,0,BR,1595085841,32,-11.18,-61.9,96.04,1.66
Tevriz,58,RU,1595085842,74,57.51,72.4,79.03,4.47
Marsaxlokk,20,MT,1595085842,58,35.84,14.54,84.2,13.87
Faya,40,SA,1595085843,17,18.39,42.45,82.4,11.41
Narodychi,13,UA,1595085844,63,51.2,29.08,74.68,7.74
Bairiki Village,20,KI,1595085844,70,1.33,172.98,84.2,10.29
Asău,20,RO,1595085845,65,46.43,26.4,78.8,2.24
Bhīmunipatnam,20,IN,1595085845,79,17.88,83.43,84.2,4.7
Tual,94,ID,1595085846,82,-5.67,132.75,78.76,18.75
Ulsteinvik,75,NO,1595085846,87,62.34,5.85,60.01,17.22
Codajás,0,BR,1595085846,53,-3.84,-62.06,90.43,3.04
Kiryat Gat,0,IL,1595085847,59,31.61,34.76,86.0,4.0
Brigantine,1,US,1595085847,46,39.41,-74.36,89.6,6.93
Boa Vista,75,BR,1595085848,94,2.82,-60.67,71.6,4.7
Zalţan,0,LY,1595085848,60,32.95,11.87,81.57,17.09
Río Gallegos,40,AR,1595085849,93,-51.62,-69.22,35.6,9.17
Kondoa,98,TZ,1595085849,32,-4.9,35.78,71.42,4.59
Copiapó,90,CL,1595085721,76,-27.37,-70.33,51.8,2.24
Fort Nelson,40,CA,1595085850,82,58.81,-122.7,60.8,3.36
Teahupoo,99,PF,1595085850,88,-17.83,-149.27,73.0,11.99
Kahului,1,US,1595085852,73,20.89,-156.47,73.99,3.36
Ventanas,65,EC,1595085852,65,-1.45,-79.47,79.74,4.45
Mitchell,1,US,1595085853,78,43.71,-98.03,82.4,13.87
Belmonte,40,BR,1595085853,54,-15.86,-38.88,78.8,6.93
Şabyā,75,SA,1595085853,63,17.15,42.63,93.2,27.51
Half Moon Bay,90,US,1595085854,93,37.46,-122.43,64.0,10.29
Pangoa,11,PE,1595085854,51,-12.12,-73.0,83.16,2.13
Lamar,1,US,1595085855,70,33.67,-95.58,86.0,10.29
Pangkalanbuun,100,ID,1595085855,97,-2.68,111.62,74.62,2.37
Muros,0,ES,1595085856,45,42.78,-9.06,80.01,13.0
Kurisove,99,UA,1595085856,28,46.97,30.96,86.0,6.71
Green River,1,US,1595085857,25,41.53,-109.47,73.4,13.87
Zhuhai,20,CN,1595085857,89,22.28,113.57,88.0,12.75
Naze,100,JP,1595085858,88,28.37,129.48,80.6,9.17
Codrington,95,AU,1595085858,63,-38.27,141.97,52.03,13.82
Dunbar,40,US,1595085859,62,38.36,-81.74,88.0,3.36
Puri,20,IN,1595085859,89,19.8,85.85,84.2,11.41
Zhanakorgan,0,KZ,1595085860,12,43.91,67.25,92.59,4.21
Talcahuano,90,CL,1595085862,93,-36.72,-73.12,57.2,14.99
Wuda,0,CN,1595085667,21,39.5,106.71,75.67,1.19
Banda Aceh,84,ID,1595085737,78,5.56,95.32,81.21,3.36
Sobolevo,3,RU,1595085863,69,54.43,31.9,71.38,4.92
Noumea,75,NC,1595085851,87,-22.28,166.46,68.0,3.36
Polovinnoye,96,RU,1595085864,64,54.79,65.99,81.41,4.63
São João da Barra,75,BR,1595085782,47,-21.64,-41.05,78.8,9.17
Willowmore,0,ZA,1595085865,24,-33.29,23.49,64.98,11.14
Zapolyarnyy,75,RU,1595085866,87,69.42,30.81,57.2,11.41
Talara,6,PE,1595085866,82,-4.58,-81.27,66.2,23.04
Vestmannaeyjar,40,IS,1595085866,66,63.44,-20.27,50.0,28.86
Basco,79,PH,1595085867,81,20.45,121.97,85.17,11.99
Avila,0,ES,1595085867,12,40.58,-5.0,87.01,5.99
St. George's,75,GD,1595085861,70,12.06,-61.75,87.8,23.04
Marzuq,100,YE,1595085868,20,14.4,46.47,93.58,11.61
Acarí,41,PE,1595085869,45,-15.43,-74.62,69.89,6.64
Port Hueneme,75,US,1595085869,87,34.15,-119.2,64.99,8.05
Nabire,100,ID,1595085870,86,-3.37,135.48,74.05,2.98
Hobyo,100,SO,1595085870,66,5.35,48.53,79.52,27.83
Severo-Kuril'sk,49,RU,1595085870,89,50.68,156.12,48.06,10.94
Finschhafen,100,PG,1595085871,84,-6.6,147.87,78.48,5.12
Bambous Virieux,40,MU,1595085872,68,-20.34,57.76,69.8,12.75
Erdenet,0,MN,1595085872,90,49.03,104.08,49.33,3.6
Krasnosel'kup,96,RU,1595085873,63,65.7,82.47,58.77,3.87
Jalu,0,LY,1595085613,16,29.03,21.55,99.91,15.41
Tezu,100,IN,1595085724,85,27.92,96.17,76.51,3.62
Ancud,90,CL,1595085874,93,-41.87,-73.82,52.0,17.22
Quatre Cocos,40,MU,1595085874,68,-20.21,57.76,69.8,12.75
Daru,100,PG,1595085875,84,-9.08,143.21,75.81,13.33
Iqaluit,90,CA,1595085875,93,63.75,-68.51,46.4,6.93
Shanghai,100,CN,1595085631,88,31.22,121.46,84.0,8.95
Arauca,75,CO,1595085733,78,7.08,-70.76,80.6,3.36
Benghazi,0,LY,1595085877,58,32.12,20.07,81.34,13.56
Atasū,100,KZ,1595085877,57,48.68,71.64,74.39,7.02
Sitka,90,US,1595085878,93,57.05,-135.33,55.4,6.93
Vadsø,75,NO,1595085878,87,70.07,29.75,57.2,11.41
Kargasok,0,RU,1595085879,70,59.06,80.86,65.08,6.38
Evinayong,89,GQ,1595085879,92,1.44,10.55,72.45,4.21
Clyde River,75,CA,1595085879,87,70.47,-68.59,42.8,10.29
Yuncheng,100,CN,1595085666,77,35.02,110.99,70.41,4.0
Sidi Ali,0,DZ,1595085880,41,36.1,0.42,84.16,14.58
